chr	rs	ps	n_miss	allele1	allele0	af	beta	se	logl_H1	l_remle	l_mle	p_wald	p_lrt	p_score
-9	ENSG00000004838.13	-9	0	A	T	1.482	-1.872026e-01	1.681145e-01	-2.025857e+02	1.000000e-05	1.000000e-05	2.683766e-01	2.544629e-01	2.590018e-01
-9	ENSG00000004846.16	-9	0	A	T	1.579	2.435483e-01	2.021549e-01	-2.024758e+02	1.000000e-05	1.000000e-05	2.313859e-01	2.178642e-01	2.227959e-01
-9	ENSG00000004848.7	-9	0	A	T	1.458	3.354434e-02	1.084735e-01	-2.031846e+02	1.000000e-05	1.000000e-05	7.578383e-01	7.509025e-01	7.516842e-01
-9	ENSG00000004864.13	-9	0	A	T	3.588	-3.743534e-01	3.118150e-01	-2.024810e+02	1.000000e-05	1.000000e-05	2.330030e-01	2.194593e-01	2.243742e-01
-9	ENSG00000004866.20	-9	0	A	T	3.702	-2.303014e-02	3.824042e-01	-2.032331e+02	1.000000e-05	1.000000e-05	9.521074e-01	9.506911e-01	9.508258e-01
-9	ENSG00000004897.11	-9	0	A	T	4.859	1.596597e-01	3.923712e-01	-2.031478e+02	1.000000e-05	1.000000e-05	6.850193e-01	6.762154e-01	6.773252e-01
-9	ENSG00000004939.13	-9	0	A	T	1.914	-2.476486e-01	2.191496e-01	-2.025664e+02	1.000000e-05	1.000000e-05	2.613955e-01	2.475387e-01	2.521527e-01
-9	ENSG00000004948.13	-9	0	A	T	0.708	1.462749e-01	1.891932e-01	-2.029209e+02	1.000000e-05	1.000000e-05	4.414152e-01	4.280125e-01	4.307952e-01
-9	ENSG00000004961.14	-9	0	A	T	3.324	1.622130e-01	2.063598e-01	-2.029103e+02	1.000000e-05	1.000000e-05	4.338473e-01	4.203604e-01	4.232113e-01
-9	ENSG00000004975.11	-9	0	A	T	3.323	-1.094960e-01	4.187879e-01	-2.031990e+02	1.000000e-05	1.000000e-05	7.943228e-01	7.883758e-01	7.890150e-01
-9	ENSG00000005007.12	-9	0	A	T	3.968	1.064954e-02	3.314171e-01	-2.032344e+02	1.000000e-05	1.000000e-05	9.744353e-01	9.736787e-01	9.737502e-01
